Station Complex Name,2021
"138 St-Grand Concourse (4,5)","2,127"
"149 St-Grand Concourse (2,4,5)","5,873"
"161 St-Yankee Stadium (B,D,4)","12,374"
167 St (4),"5,066"
"167 St (B,D)","4,723"
170 St (4),"4,039"
"170 St (B,D)","3,468"
"174 St (2,5)","3,437"
"174-175 Sts (B,D)","2,727"
176 St (4),"2,980"
"182-183 Sts (B,D)","2,535"
183 St (4),"3,269"
"219 St (2,5)","1,570"
"225 St (2,5)","1,918"
231 St (1),"4,786"
"233 St (2,5)","2,546"
238 St (1),"2,204"
3 Av-138 St (6),"4,326"
"3 Av-149 St (2,5)","10,558"
"Allerton Av (2,5)","2,685"
Baychester Av (5),"1,661"
"Bedford Park Blvd (B,D)","3,492"
Bedford Park Blvd-Lehman College (4),"2,553"
"Bronx Park East (2,5)","1,352"
Brook Av (6),"3,350"
Buhre Av (6),"1,960"
"Burke Av (2,5)","1,700"
Burnside Av (4),"5,076"
Castle Hill Av (6),"3,402"
Cypress Av (6),"1,718"
East 143 St-St Mary's St (6),688
East 149 St (6),"2,724"
"East 180 St (2,5)","3,829"
Eastchester-Dyre Av (5),"2,300"
Elder Av (6),"3,662"
Fordham Rd (4),"5,666"
"Fordham Rd (B,D)","5,766"
"Freeman St (2,5)","2,373"
"Gun Hill Rd (2,5)","3,470"
Gun Hill Rd (5),"2,579"
Hunts Point Av (6),"5,676"
"Intervale Av (2,5)","1,752"
"Jackson Av (2,5)","2,664"
Kingsbridge Rd (4),"4,719"
"Kingsbridge Rd (B,D)","3,788"
Longwood Av (6),"1,859"
Middletown Rd (6),993
Morris Park (5),"1,302"
Morrison Av-Soundview (6),"3,537"
Mosholu Pkwy (4),"4,585"
Mt Eden Av (4),"2,890"
"Nereid Av (2,5)","1,757"
Norwood-205 St (D),"4,441"
Parkchester (6),"7,754"
Pelham Bay Park (6),"3,301"
"Pelham Pkwy (2,5)","4,473"
Pelham Pkwy (5),"1,591"
"Prospect Av (2,5)","3,618"
"Simpson St (2,5)","4,371"
St. Lawrence Ave. (6),"2,229"
"Tremont Av (B,D)","4,843"
Van Cortlandt Park-242 St (1),"3,681"
Wakefield-241 St (2),"2,427"
"West Farms Sq-East Tremont Av (2,5)","3,389"
Westchester Sq-East Tremont Av (6),"3,157"
Whitlock Av (6),"1,087"
Woodlawn (4),"3,542"
Zerega Av (6),"1,331"
"15 St-Prospect Park (F,G)","2,686"
18 Av (D),"3,036"
18 Av (F),"2,016"
18 Av (N),"2,723"
20 Av (D),"2,463"
20 Av (N),"1,992"
25 Av (D),"2,152"
25 St (R),"1,979"
"36 St (D,N,R)","7,507"
"4 Av (F,G)/9 St (R)","6,036"
45 St (R),"4,180"
50 St (D),"1,958"
53 St (R),"4,985"
55 St (D),"1,216"
"59 St (N,R)","6,938"
"7 Av (B,Q)","4,258"
"7 Av (F,G)","5,423"
71 St (D),"2,500"
77 St (R),"2,671"
79 St (D),"3,095"
8 Av (N),"5,346"
86 St. (N),"1,324"
86 St. (R),"5,942"
9 Av (D),"2,916"
Alabama Av (J),"1,187"
Atlantic Av (L),929
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","19,374"
Avenue H (Q),"1,325"
Avenue I (F),"1,050"
Avenue J (Q),"3,063"
Avenue M (Q),"3,085"
Avenue N (F),"1,528"
Avenue P (F),"1,316"
Avenue U (F),987
Avenue U (N),"2,005"
Avenue U (Q),"3,698"
Avenue X (F),"1,256"
Bay 50 St (D),"1,384"
Bay Pkwy (D),"3,795"
Bay Pkwy (F),684
Bay Pkwy (N),"3,644"
Bay Ridge Av (R),"3,918"
Bay Ridge-95 St (R),"2,716"
Bedford Av (L),"13,543"
Bedford-Nostrand Avs (G),"4,224"
"Bergen St (2,3)","1,621"
"Bergen St (F,G)","5,011"
Beverley Rd (Q),"1,732"
"Beverly Rd (2,5)","2,213"
"Brighton Beach (B,Q)","5,990"
Broadway (G),"2,658"
"Broadway Junction (A,C,J,L,Z)","3,882"
Bushwick Av-Aberdeen St (L),"1,257"
Canarsie-Rockaway Pkwy (L),"3,582"
"Carroll St (F,G)","5,152"
Central Av (M),"2,013"
"Chauncey St (J,Z)","1,618"
"Church Av (2,5)","4,906"
"Church Av (B,Q)","8,066"
"Church Av (F,G)","4,910"
"Clark St (2,3)","1,887"
Classon Av (G),"2,766"
Cleveland St (J),"1,448"
Clinton-Washington Avs (C),"2,868"
Clinton-Washington Avs (G),"2,487"
"Coney Island-Stillwell Av (D,F,N,Q)","6,607"
Cortelyou Rd (Q),"3,114"
"Court St (R)/Borough Hall (2,3,4,5)","12,377"
"Crescent St (J,Z)","2,321"
"Crown Heights-Utica Av (3,4)","12,614"
Cypress Hills (J),819
"DeKalb Av (B,Q,R)","8,949"
DeKalb Av (L),"6,526"
Ditmas Av (F),"2,222"
East 105 St (L),"1,634"
"Eastern Pkwy-Brooklyn Museum (2,3)","1,946"
"Euclid Av (A,C)","4,919"
"Flatbush Av-Brooklyn College (2,5)","8,442"
Flushing Av (G),"1,837"
"Flushing Av (J,M)","4,426"
Fort Hamilton Pkwy (D),"2,387"
"Fort Hamilton Pkwy (F,G)","2,628"
Fort Hamilton Pkwy (N),"3,130"
"Franklin Av (2,3,4,5)/Botanic Garden (S)","6,534"
"Franklin Av (C,S)","2,624"
Fulton St (G),"2,961"
"Gates Av (J,Z)","3,476"
Graham Av (L),"4,518"
"Grand Army Plaza (2,3)","3,053"
Grand St (L),"3,536"
Grant Av (A),"2,715"
Greenpoint Av (G),"5,296"
Halsey St (J),"2,927"
Halsey St (L),"4,042"
"Hewes St (J,M)","1,572"
"High St (A,C)","4,085"
"Hoyt St (2,3)","3,256"
"Hoyt-Schermerhorn Sts (A,C,G)","5,261"
"Jay St-MetroTech (A,C,F,R)","14,340"
Jefferson St (L),"3,802"
Junius St (3),"1,156"
"Kings Hwy (B,Q)","10,331"
Kings Hwy (F),"1,864"
Kings Hwy (N),"2,720"
Kingston Av (3),"2,353"
Kingston-Throop Avs (C),"2,891"
Knickerbocker Av (M),"2,204"
Kosciuszko St (J),"2,649"
Lafayette Av (C),"2,350"
Liberty Av (C),"1,307"
Livonia Av (L),"1,317"
"Lorimer St (J,M)","2,361"
Lorimer St (L)/Metropolitan Av (G),"6,893"
"Marcy Av (J,M,Z)","6,476"
Montrose Av (L),"3,512"
Morgan Av (L),"3,532"
"Myrtle Av (J,M,Z)","5,348"
Myrtle-Willoughby Avs (G),"2,955"
"Myrtle-Wyckoff Avs (L,M)","10,038"
Nassau Av (G),"4,647"
Neck Rd (Q),"2,077"
Neptune Av (F),777
"Nevins St (2,3,4,5)","4,164"
New Lots Av (3),"2,652"
New Lots Av (L),"2,209"
New Utrecht Av (N)/62 St (D),"2,814"
"Newkirk Av (2,5)","3,697"
"Newkirk Plaza (B,Q)","5,305"
"Norwood Av (J,Z)","1,522"
Nostrand Av (3),"1,846"
"Nostrand Av (A,C)","8,121"
Ocean Pkwy (Q),"1,671"
Park Pl (S),804
Parkside Av (Q),"3,159"
Pennsylvania Av (3),"2,294"
"President St (2,5)","1,818"
Prospect Av (R),"2,828"
"Prospect Park (B,Q,S)","4,765"
Ralph Av (C),"2,713"
Rockaway Av (3),"2,467"
Rockaway Av (C),"2,628"
Saratoga Av (3),"2,760"
"Sheepshead Bay (B,Q)","6,693"
Shepherd Av (C),"1,511"
"Smith-9 Sts (F,G)","2,243"
"Sterling St. (2,5)","2,879"
Sutter Av (L),"1,713"
Sutter Av-Rutland Rd (3),"3,422"
Union St (R),"3,348"
"Utica Av (A,C)","6,989"
Van Siclen Av (3),"1,335"
Van Siclen Av (C),"1,400"
"Van Siclen Av (J,Z)","1,473"
"West 8 St-New York Aquarium (F,Q)","1,285"
Wilson Av (L),"2,310"
"Winthrop St (2,5)","4,001"
York St (F),"4,758"
1 Av (L),"11,477"
103 St (1),"5,699"
103 St (6),"6,897"
"103 St (B,C)","2,186"
110 St (6),"5,513"
"116 St (2,3)","4,939"
116 St (6),"7,390"
"116 St (B,C)","3,346"
116 St-Columbia University (1),"5,814"
125 St (1),"3,677"
"125 St (2,3)","6,422"
"125 St (4,5,6)","11,943"
"125 St (A,B,C,D)","13,324"
"135 St (2,3)","6,412"
"135 St (B,C)","2,433"
137 St-City College (1),"5,763"
"14 St (A,C,E)/8 Av (L)","17,710"
"14 St (F,M,1,2,3)/6 Av (L)","18,555"
"14 St-Union Sq (L,N,Q,R,W,4,5,6)","39,138"
145 St (1),"4,840"
145 St (3),"1,614"
"145 St (A,B,C,D)","10,513"
"155 St (B,D)","1,837"
155 St (C),"1,259"
157 St (1),"5,420"
163 St-Amsterdam Av (C),"2,079"
"168 St (A,C,1)","12,957"
175 St (A),"6,270"
18 St (1),"2,995"
181 St (1),348
181 St (A),"6,319"
190 St (A),"1,466"
191 St (1),"4,612"
2 Av (F),"7,189"
207 St (1),"3,215"
215 St (1),868
23 St (1),"5,583"
23 St (6),"9,909"
"23 St (C,E)","9,310"
"23 St (F,M)","10,426"
"23 St (R,W)","7,231"
28 St (1),"5,068"
28 St (6),"8,264"
"28 St (R,W)","4,260"
3 Av (L),"3,198"
33 St (6),"11,930"
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)","45,739"
34 St-Hudson Yards (7),"8,608"
"34 St-Penn Station (1,2,3)","27,237"
"34 St-Penn Station (A,C,E)","30,078"